node1	node2	cor_value
Klebsiella	Streptomyces	0.376076791
Klebsiella	Bifidobacterium	0.335085134
Klebsiella	Eggerthella	0.309503963
Klebsiella	Prevotella	0.339982158
Klebsiella	Alistipes	0.322391791
Klebsiella	Parabacteroides	0.321317598
Klebsiella	Anaerobutyricum	0.387907984
Klebsiella	Anaerostipes	0.330967295
Klebsiella	Blautia	0.305042855
Klebsiella	Faecalibacterium	0.316630857
Klebsiella	Vescimonas	0.385870369
Lactobacillus	Paenibacillus	0.325203335
Lactobacillus	Methanobrevibacter_A	0.337474373
Lactobacillus	Bifidobacterium	0.350766421
Lactobacillus	Collinsella	0.329898349
Lactobacillus	Eggerthella	0.361851258
Lactobacillus	Bacteroides	0.317780028
Lactobacillus	Prevotella	0.300651442
Lactobacillus	Alistipes	0.311760566
Lactobacillus	Gemella	0.321833625
Lactobacillus	Eubacterium	0.326992716
Lactobacillus	Anaerobutyricum	0.327716125
Lactobacillus	Anaerostipes	0.318931142
Lactobacillus	Blautia	0.344213353
Lactobacillus	Coprococcus	0.319225637
Lactobacillus	Dorea	0.319636493
Lactobacillus	Enterocloster	0.322357488
Lactobacillus	Faecalicatena	0.304500158
Lactobacillus	Lachnoclostridium	0.331786817
Lactobacillus	Dysosmobacter	0.314170577
Lactobacillus	Faecalibacterium	0.340069562
Lactobacillus	Flavonifractor	0.411229315
Lactobacillus	Oscillibacter	0.324296551
Lactobacillus	Pusillibacter	0.311301867
Lactobacillus	Ruthenibacterium	0.3359798
Lactobacillus	Vescimonas	0.309467526
Lactococcus	Methanobrevibacter_A	0.318985943
Lactococcus	Collinsella	0.307897081
Lactococcus	Eggerthella	0.332005576
Lactococcus	Gordonibacter	0.328493996
Lactococcus	Alistipes	0.303620917
Lactococcus	Eubacterium	0.302402975
Lactococcus	Lachnoclostridium	0.341397028
Lactococcus	Anaerotruncus	0.303989751
Lactococcus	Dysosmobacter	0.338135008
Lactococcus	Faecalibacterium	0.324399708
Lactococcus	Flavonifractor	0.329117554
Lactococcus	Ruthenibacterium	0.356915859
Lactococcus	Vescimonas	0.334821706
Lactococcus	Intestinimonas	0.331674488
Lactococcus	Faecalibacillus	0.313582224
Micromonospora	Streptomyces	0.301443301
Neisseria	Streptococcus	0.348828898
Neisseria	Porphyromonas	0.334122744
Neisseria	Gemella	0.309906812
Nocardia	Streptomyces	0.308430456
Nocardioides	Actinoplanes	0.313099213
Paenibacillus	Streptococcus	0.43583542
Paenibacillus	Streptomyces	0.354050606
Paenibacillus	Treponema	0.389601086
Paenibacillus	Candidatus Methanomethylophilus	0.313922068
Paenibacillus	Methanomassiliicoccus_A	0.548061454
Paenibacillus	Methanobrevibacter_A	0.620761001
