Node	Type	Mean_counts
Gymnodinialimonas	Bacteria|Proteobacteria	
Pseudopuniceibacterium	Bacteria|Proteobacteria	
Qingshengfaniella	Bacteria|Proteobacteria	
Silicimonas	Bacteria|Proteobacteria	
Tabrizicola	Bacteria|Proteobacteria	
Tritonibacter	Bacteria|Proteobacteria	
Actibacterium	Bacteria|Proteobacteria	
Antarctobacter	Bacteria|Proteobacteria	
Maribius	Bacteria|Proteobacteria	
Sagittula	Bacteria|Proteobacteria	
Kozakia	Bacteria|Proteobacteria	
Roseococcus	Bacteria|Proteobacteria	
Nitrospirillum	Bacteria|Proteobacteria	
Stella	Bacteria|Proteobacteria	
Allosphingosinicella	Bacteria|Proteobacteria	
Hankyongella	Bacteria|Proteobacteria	
Castellaniella	Bacteria|Proteobacteria	
Lautropia	Bacteria|Proteobacteria	
Ralstonia	Bacteria|Proteobacteria	
Alicycliphilus	Bacteria|Proteobacteria	
Candidatus Symbiobacter	Bacteria|Proteobacteria	
Comamonas	Bacteria|Proteobacteria	
Curvibacter	Bacteria|Proteobacteria	
Diaphorobacter	Bacteria|Proteobacteria	
Melaminivora	Bacteria|Proteobacteria	
Pulveribacter	Bacteria|Proteobacteria	
Rhodoferax	Bacteria|Proteobacteria	
Serpentinimonas	Bacteria|Proteobacteria	
Simplicispira	Bacteria|Proteobacteria	
Duganella	Bacteria|Proteobacteria	
Noviherbaspirillum	Bacteria|Proteobacteria	
Sutterella	Bacteria|Proteobacteria	
Aquabacterium	Bacteria|Proteobacteria	
Ideonella	Bacteria|Proteobacteria	
Leptothrix	Bacteria|Proteobacteria	
Methylibium	Bacteria|Proteobacteria	
Mitsuaria	Bacteria|Proteobacteria	
Rhizobacter	Bacteria|Proteobacteria	
Rubrivivax	Bacteria|Proteobacteria	
Sphaerotilus	Bacteria|Proteobacteria	
Microvirgula	Bacteria|Proteobacteria	
Eikenella	Bacteria|Proteobacteria	
Methylobacillus	Bacteria|Proteobacteria	
Methylotenera	Bacteria|Proteobacteria	
Sulfurimicrobium	Bacteria|Proteobacteria	
Sulfuritortus	Bacteria|Proteobacteria	
Thiobacillus	Bacteria|Proteobacteria	
Quatrionicoccus	Bacteria|Proteobacteria	
Oryzomicrobium	Bacteria|Proteobacteria	
Nitrogeniibacter	Bacteria|Proteobacteria	
Desulfatibacillum	Bacteria|Proteobacteria	
Desulfobulbus	Bacteria|Proteobacteria	0.001
Desulfolutivibrio	Bacteria|Proteobacteria	
Desulfovibrio	Bacteria|Proteobacteria	
Megalodesulfovibrio	Bacteria|Proteobacteria	
Pseudodesulfovibrio	Bacteria|Proteobacteria	
Citrifermentans	Bacteria|Proteobacteria	
Stigmatella	Bacteria|Proteobacteria	
Syntrophus	Bacteria|Proteobacteria	
Aliarcobacter	Bacteria|Proteobacteria	
Halarcobacter	Bacteria|Proteobacteria	0.001
Hydrogenimonas	Bacteria|Proteobacteria	
Nitrosophilus	Bacteria|Proteobacteria	
Sedimenticola	Bacteria|Proteobacteria	
Sulfuricaulis	Bacteria|Proteobacteria	
Sulfurifustis	Bacteria|Proteobacteria	
Dongshaea	Bacteria|Proteobacteria	
Zobellella	Bacteria|Proteobacteria	
Lacimicrobium	Bacteria|Proteobacteria	
